 

stn;time;pva200s0;gre000z0;tre200s0;fkl010z0
LUZ;202201011340;7.6;251;9.4;1.5
LUZ;202201011350;7.3;227;9.1;1.6
LUZ;202201011400;7.6;203;8.5;1.3
LUZ;202201011410;7.6;195;8.4;0.9
LUZ;202201011420;7.5;175;8.4;0.7
LUZ;202201011430;7.3;141;8.2;0.6
LUZ;202201011440;7.5;47;7.2;0.8
LUZ;202201011450;8.0;31;6.9;1.2
LUZ;202201011500;7.8;26;7.1;1.6
LUZ;202201011510;7.6;22;6.7;1.0
LUZ;202201011520;7.6;19;6.2;0.4
LUZ;202201011530;7.7;15;6.1;0.6
LUZ;202201011540;7.5;10;4.0;0.6
LUZ;202201011550;7.7;5;5.4;0.7
LUZ;202201011600;7.6;3;5.1;0.7
LUZ;202201011610;7.4;0;4.6;0.6
LUZ;202201011620;7.4;0;4.7;0.8
LUZ;202201011630;7.4;0;4.2;1.0
LUZ;202201011640;7.4;0;4.6;1.3
LUZ;202201011650;7.1;0;3.5;0.7
LUZ;202201011700;7.2;0;3.7;1.0
LUZ;202201011710;7.3;0;4.7;1.6
LUZ;202201011720;7.2;0;3.8;1.2
LUZ;202201011730;7.0;0;3.3;0.5
LUZ;202201011740;6.9;0;3.3;0.4
LUZ;202201011750;6.8;0;2.5;0.5
LUZ;202201011800;6.9;0;2.9;0.8
LUZ;202201011810;7.0;0;3.3;1.4
LUZ;202201011820;6.9;0;3.0;1.6
LUZ;202201011830;6.8;0;2.7;1.1
LUZ;202201011840;6.9;0;3.3;0.6
LUZ;202201011850;6.8;0;2.8;0.3
LUZ;202201011900;6.8;0;2.8;0.3
LUZ;202201011910;6.9;0;3.0;0.4
LUZ;202201011920;6.6;0;1.9;0.5
LUZ;202201011930;6.6;0;2.2;1.3
LUZ;202201011940;6.7;0;2.2;1.6
LUZ;202201011950;6.8;0;2.6;1.6
LUZ;202201012000;6.7;0;2.0;1.0
LUZ;202201012010;6.6;0;1.9;0.8
LUZ;202201012020;6.7;0;2.7;1.1
LUZ;202201012030;6.7;0;2.8;1.2
LUZ;202201012040;6.4;0;1.4;0.7
LUZ;202201012050;6.6;0;2.2;0.4
LUZ;202201012100;6.6;0;2.1;0.5
LUZ;202201012110;6.6;0;1.9;0.8
LUZ;202201012120;6.4;0;1.5;0.9
LUZ;202201012130;6.5;0;2.1;0.7
LUZ;202201012140;6.4;0;1.4;0.7
LUZ;202201012150;6.5;0;1.9;0.8
LUZ;202201012200;6.6;0;2.3;0.8
LUZ;202201012210;6.5;0;1.5;0.5
LUZ;202201012220;6.3;0;1.5;0.3
LUZ;202201012230;6.4;0;1.6;0.2
LUZ;202201012240;6.4;0;1.5;0.1
LUZ;202201012250;6.3;0;1.5;0.3
LUZ;202201012300;6.3;0;1.4;0.6
LUZ;202201012310;6.3;0;1.1;0.5
LUZ;202201012320;6.2;0;1.1;0.5
LUZ;202201012330;6.3;0;1.4;1.0
LUZ;202201012340;6.4;0;1.5;1.1
LUZ;202201012350;6.3;0;1.4;0.7
